2026-09-20 14:48:37.032 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.075 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.122 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.176 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.243 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.305 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.376 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.450 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.528 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.613 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.706 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.803 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:37.909 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:38.018 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:38.137 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:38.270 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:38.412 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:38.561 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:38.713 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:38.871 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:39.063 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:39.242 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:39.433 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:39.627 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:39.832 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:40.049 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:40.196 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:40.328 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:40.469 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:40.568 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:40.670 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:40.823 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:40.924 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:41.040 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:41.151 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:41.273 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:41.388 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:41.528 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:41.695 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:41.809 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:41.924 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:42.033 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:42.138 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:42.254 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:42.375 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:42.496 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:42.626 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:42.736 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:42.840 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:42.951 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:43.066 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:43.188 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:43.303 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:43.427 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:43.545 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:43.659 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:43.768 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:43.879 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:43.987 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:44.105 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:44.221 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:44.342 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:44.466 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:44.599 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:44.723 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:44.843 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
2026-09-20 14:48:44.951 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg5
2026-09-20 14:48:45.069 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg4
2026-09-20 14:48:45.190 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg
2026-09-20 14:48:45.305 | DEBUG    | logging:callHandlers:1706 | Loading FFmpeg6
